ICD9,CCS
'01000',Tuberculosis
'01001',Tuberculosis
'01002',Tuberculosis
'01003',Tuberculosis
'01004',Tuberculosis
'01005',Tuberculosis
'01006',Tuberculosis
'01010',Tuberculosis
'01011',Tuberculosis
'01012',Tuberculosis
'01013',Tuberculosis
'01014',Tuberculosis
'01015',Tuberculosis
'01016',Tuberculosis
'01080',Tuberculosis
'01081',Tuberculosis
'01082',Tuberculosis
'01083',Tuberculosis
'01084',Tuberculosis
'01085',Tuberculosis
'01086',Tuberculosis
'01090',Tuberculosis
'01091',Tuberculosis
'01092',Tuberculosis
'01093',Tuberculosis
'01094',Tuberculosis
'01095',Tuberculosis
'01096',Tuberculosis
'01100',Tuberculosis
'01101',Tuberculosis
'01102',Tuberculosis
'01103',Tuberculosis
'01104',Tuberculosis
'01105',Tuberculosis
'01106',Tuberculosis
'01110',Tuberculosis
'01111',Tuberculosis
'01112',Tuberculosis
'01113',Tuberculosis
'01114',Tuberculosis
'01115',Tuberculosis
'01116',Tuberculosis
'01120',Tuberculosis
'01121',Tuberculosis
'01122',Tuberculosis
'01123',Tuberculosis
'01124',Tuberculosis
'01125',Tuberculosis
'01126',Tuberculosis
'01130',Tuberculosis
'01131',Tuberculosis
'01132',Tuberculosis
'01133',Tuberculosis
'01134',Tuberculosis
'01135',Tuberculosis
'01136',Tuberculosis
'01140',Tuberculosis
'01141',Tuberculosis
'01142',Tuberculosis
'01143',Tuberculosis
'01144',Tuberculosis
'01145',Tuberculosis
'01146',Tuberculosis
'01150',Tuberculosis
'01151',Tuberculosis
'01152',Tuberculosis
'01153',Tuberculosis
'01154',Tuberculosis
'01155',Tuberculosis
'01156',Tuberculosis
'01160',Tuberculosis
'01161',Tuberculosis
'01162',Tuberculosis
'01163',Tuberculosis
'01164',Tuberculosis
'01165',Tuberculosis
'01166',Tuberculosis
'01170',Tuberculosis
'01171',Tuberculosis
'01172',Tuberculosis
'01173',Tuberculosis
'01174',Tuberculosis
'01175',Tuberculosis
'01176',Tuberculosis
'01180',Tuberculosis
'01181',Tuberculosis
'01182',Tuberculosis
'01183',Tuberculosis
'01184',Tuberculosis
'01185',Tuberculosis
'01186',Tuberculosis
'01190',Tuberculosis
'01191',Tuberculosis
'01192',Tuberculosis
'01193',Tuberculosis
'01194',Tuberculosis
'01195',Tuberculosis
'01196',Tuberculosis
'01200',Tuberculosis
'01201',Tuberculosis
'01202',Tuberculosis
'01203',Tuberculosis
'01204',Tuberculosis
'01205',Tuberculosis
'01206',Tuberculosis
'01210',Tuberculosis
'01211',Tuberculosis
'01212',Tuberculosis
'01213',Tuberculosis
'01214',Tuberculosis
'01215',Tuberculosis
'01216',Tuberculosis
'01220',Tuberculosis
'01221',Tuberculosis
'01222',Tuberculosis
'01223',Tuberculosis
'01224',Tuberculosis
'01225',Tuberculosis
'01226',Tuberculosis
'01230',Tuberculosis
'01231',Tuberculosis
'01232',Tuberculosis
'01233',Tuberculosis
'01234',Tuberculosis
'01235',Tuberculosis
'01236',Tuberculosis
'01280',Tuberculosis
'01281',Tuberculosis
'01282',Tuberculosis
'01283',Tuberculosis
'01284',Tuberculosis
'01285',Tuberculosis
'01286',Tuberculosis
'01300',Tuberculosis
'01301',Tuberculosis
'01302',Tuberculosis
'01303',Tuberculosis
'01304',Tuberculosis
'01305',Tuberculosis
'01306',Tuberculosis
'01310',Tuberculosis
'01311',Tuberculosis
'01312',Tuberculosis
'01313',Tuberculosis
'01314',Tuberculosis
'01315',Tuberculosis
'01316',Tuberculosis
'01320',Tuberculosis
'01321',Tuberculosis
'01322',Tuberculosis
'01323',Tuberculosis
'01324',Tuberculosis
'01325',Tuberculosis
'01326',Tuberculosis
'01330',Tuberculosis
'01331',Tuberculosis
'01332',Tuberculosis
'01333',Tuberculosis
'01334',Tuberculosis
'01335',Tuberculosis
'01336',Tuberculosis
'01340',Tuberculosis
