"","variable","percent_missing"
"1","ph_min",38.4847570178086
"2","ptt_max",36.8095381829158
"3","urineoutput",28.2372472079686
"4","albumin_min",27.8901297917295
"5","gcs_min",25.2792031391488
"6","pt_max",23.8907334741926
"7","inr_max",23.7398128584365
"8","aniongap_max",19.9366133413824
"9","hospital_mortality",11.6963477210987
"10","gender",11.6963477210987
"11","age",11.6963477210987
"12","sp_o2_mean",10.24750980984
"13","resp_rate_mean",9.38726230003018
"14","mean_bp_mean",8.97977663748868
"15","dias_bp_mean",8.93450045276185
"16","shock_index",8.91940839118624
"17","sys_bp_mean",8.8741322064594
"18","heart_rate_mean",6.53486266223966
"19","bmi",5.28222155146393
"20","bicarbonate_min",3.2297011771808
"21","temp_c_mean",2.61092665258074
"22","platelet_max",2.36945366737096
"23","glucose_min",2.32417748264413
"24","bun_max",2.30908542106852
"25","chloride_max",2.2789012979173
"26","sodium_min",2.23362511319046
"27","wbc_max",2.20344099003924
"28","doubled_creat",2.18834892846363
"29","delta_creat_0_3",2.18834892846363
"30","hemoglobin_min",1.81104738907335
"31","hematocrit_max",1.6148505885904
"32","potassium_max",1.08662843344401
"33","ethnicity",0.467853908843948
"34","acute_cerebrovascular_disease",0
"35","acute_renal_failure",0
"36","anemia",0
"37","atrial_fibrillation",0
"38","blood_malignancy",0
"39","cardiac_arrest_and_ventricular_fibrillation",0
"40","chronic_kidney_disease",0
"41","chronic_obstructive_pulmonary_disease_and_bronchiectasis",0
"42","coronary_atherosclerosis",0
"43","diabetes_mellitus",0
"44","heart_valve_disorders",0
"45","hypertension",0
"46","neoplasms",0
"47","nstemi",0
"48","septicemia",0
"49","shock_cardiogenic",0
"50","shock_nos",0
"51","shock_septic",0
"52","stemi",0
"53","rrt",0
"54","vent",0
"55","iabp",0
"56","impella",0
"57","dopamine",0
"58","dobutamine",0
"59","norepinephrine",0
"60","epinephrine",0
"61","phenyl",0
"62","vasopressin",0
"63","milrinone",0
"64","total_pressors",0
"65","charlson_score",0
"66","any_inotrope",0
