"","variable","percent_missing"
"1","albumin_min",39.9302528334786
"2","bmi",32.6503923278117
"3","ph_min",18.0470793374019
"4","urine_output",5.231037489102
"5","ptt_max",4.14123801220575
"6","pt_max",4.0104620749782
"7","inr_max",3.8360941586748
"8","temp_c_mean",2.615518744551
"9","glucose_mean",1.8308631211857
"10","gcs",1.3077593722755
"11","sp_o2_mean",1.00261551874455
"12","aniongap_max",0.871839581517001
"13","bicarbonate_min",0.828247602441151
"14","dias_bp_mean",0.653879686137751
"15","shock_index",0.653879686137751
"16","sys_bp_mean",0.610287707061901
"17","heart_rate_mean",0.566695727986051
"18","mean_bp_mean",0.566695727986051
"19","resp_rate_mean",0.566695727986051
"20","chloride_max",0.566695727986051
"21","wbc_max",0.523103748910201
"22","glucose_min_2",0.4359197907585
"23","sodium_max",0.4359197907585
"24","hemoglobin_min",0.3487358326068
"25","bun_max",0.3487358326068
"26","doubled_creat",0.30514385353095
"27","platelet_max",0.2615518744551
"28","potassium_max",0.13077593722755
"29","hematocrit_max",0.0871839581517001
"30","acute_cerebrovascular_disease",0
"31","acute_renal_failure",0
"32","anemia",0
"33","atrial_fibrillation",0
"34","blood_malignancy",0
"35","cardiac_arrest_and_ventricular_fibrillation",0
"36","chronic_kidney_disease",0
"37","chronic_obstructive_pulmonary_disease_and_bronchiectasis",0
"38","coronary_atherosclerosis",0
"39","diabetes_mellitus",0
"40","heart_valve_disorders",0
"41","hypertension",0
"42","neoplasms",0
"43","nstemi",0
"44","septicemia",0
"45","shock_cardiogenic",0
"46","shock_nos",0
"47","shock_septic",0
"48","stemi",0
"49","gender",0
"50","rrt",0
"51","vent",0
"52","ecmo",0
"53","iabp",0
"54","impella",0
"55","dobutamine",0
"56","dopamine",0
"57","epinephrine",0
"58","milrinone",0
"59","norepinephrine",0
"60","phenyl",0
"61","vasopressin",0
"62","total_pressors",0
"63","sofa",0
"64","oasis",0
"65","cabg",0
"66","pci",0
"67","hospital_mortality",0
"68","age",0
"69","charlson_score",0
"70","vis_24h",0
"71","vis_first_hour",0
"72","nee_24h",0
"73","nee_first_hour",0
"74","ethnicity",0
"75","any_inotrope",0
